title,price,location,property_type,bedrooms,bathrooms,area,listing_type,agency_logo,agency_name,publish_date,publish_time,listing_url,image_urls,source
فيلا TYPE D ب اسكارليت استلام فوري باقساط بحري,٥٣٬٠٠٠٬٠٠٠ جنيه,"سوان ليك ريزيدنس, كمبوندات التجمع الخامس, التجمع الخامس, مدينة القاهرة الجديدة, القاهرة",فيلا,7+,7+,٦٥٠ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/5758/659f8d8d-f657-4b84-9c50-3a51b6555d00/178x98.jpg,Spade consultancy,10.06.2026,06:48 AM,https://www.propertyfinder.eg/ar/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-81566443.html,https://static.shared.propertyfinder.eg/media/images/listing/NSY4DKR6SKKK3BF6C9NSKRTPDC/4aef2b6f-5b5a-4c96-86da-447b25824cf6/416x272.jpg?v=cc9e58c4279f79e0f9789d58b2bd12d5|https://static.shared.propertyfinder.eg/media/images/listing/NSY4DKR6SKKK3BF6C9NSKRTPDC/5f8c78ee-93b2-4a85-83dd-e11e7b0b5663/416x272.jpg?v=d51410d58e2363bdad3c2d6dc8de30c8|https://static.shared.propertyfinder.eg/media/images/listing/NSY4DKR6SKKK3BF6C9NSKRTPDC/703ebe63-a417-4e6a-9392-88049aa2b348/416x272.jpg?v=9303fd2165fb5ee2ceb5ffebfc34c4dd,Property Finder Egypt
امتلك تاون هاوس ع10سنين تلال إيست متشطب بالتكيفات,١٥٬٤٩٠٬٠٠٠ جنيه,"تلال إيست, كمبوندات التجمع الخامس, التجمع الخامس, مدينة القاهرة الجديدة, القاهرة",فيلا,3,3,٢٦٢ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/1192/e44669d1-8049-47b7-96ea-2adb1284ba84/178x98.jpg,Property Hills One,11.06.2026,03:48 AM,https://www.propertyfinder.eg/ar/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-telal-east-82085870.html,https://static.shared.propertyfinder.eg/media/images/listing/WCKWEGS1MPB8PNM1144JJPQ8TG/3658d65a-2c22-4228-a192-81cfa30eb951/416x272.jpg?v=19c931552265eed16c81fa97dff2b2ca|https://static.shared.propertyfinder.eg/media/images/listing/WCKWEGS1MPB8PNM1144JJPQ8TG/0f490931-de11-4aa8-96fa-4f9b7fc4ba34/416x272.jpg?v=3f2ab433ff7ae1955d06b6c54421c658|https://static.shared.propertyfinder.eg/media/images/listing/WCKWEGS1MPB8PNM1144JJPQ8TG/3dc28b15-1958-4b0c-9809-a14a7a0ff905/416x272.jpg?v=df6618f0242293ab0ef3ed6921f7a58d,Property Finder Egypt
تاون هاوس استلام فوري موقع مميز ف سوان ليك ريزيدنس,٢٦٬٠٠٠٬٠٠٠ جنيه,"سوان ليك ريزيدنس, كمبوندات التجمع الخامس, التجمع الخامس, مدينة القاهرة الجديدة, القاهرة",تاون هاوس,5,4,٢٤٧ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/5758/659f8d8d-f657-4b84-9c50-3a51b6555d00/178x98.jpg,Spade consultancy,10.06.2026,02:48 PM,https://www.propertyfinder.eg/ar/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-81832621.html,https://static.shared.propertyfinder.eg/media/images/listing/9BE705875BFGZB9EH4GGSJQ9H8/49582e2d-8180-4b75-8788-f61e26ee2563/416x272.jpg?v=0204b0859c6888bcbbb410f49bc3db0b|https://static.shared.propertyfinder.eg/media/images/listing/9BE705875BFGZB9EH4GGSJQ9H8/29b94f48-1d09-4eac-a98f-b2768f6e1d52/416x272.jpg?v=cf1b94917aafc11e00c5e88b3231dbf4|https://static.shared.propertyfinder.eg/media/images/listing/9BE705875BFGZB9EH4GGSJQ9H8/9a02b885-f4d7-4031-bfdd-86e35ae87233/416x272.jpg?v=db26c672b8a941c9e20b3f31dc4536fd,Property Finder Egypt
ستند الون فيلا استلام فوري موقع مميز في سوان ليك,٣٩٬٠٠٠٬٠٠٠ جنيه,"سوان ليك ريزيدنس, كمبوندات التجمع الخامس, التجمع الخامس, مدينة القاهرة الجديدة, القاهرة",فيلا,4,5,٣٨٨ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/5758/659f8d8d-f657-4b84-9c50-3a51b6555d00/178x98.jpg,Spade consultancy,10.06.2026,02:48 PM,https://www.propertyfinder.eg/ar/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-81832640.html,https://static.shared.propertyfinder.eg/media/images/listing/3AZDR25T43SVBPZFGVE6Y9DSF8/5b54585c-f484-4fc5-a109-94569208d2e1/416x272.jpg?v=ff1daa46146b560075d1b79250829297|https://static.shared.propertyfinder.eg/media/images/listing/3AZDR25T43SVBPZFGVE6Y9DSF8/bd1b4d9e-1925-44da-91c7-a290ffe8fc3a/416x272.jpg?v=ae730344a1bfdcd286969357131d9bad|https://static.shared.propertyfinder.eg/media/images/listing/3AZDR25T43SVBPZFGVE6Y9DSF8/96ca5df0-4688-4364-9a73-4d75ce179601/416x272.jpg?v=523ffba4b76db97dd85bb0c8c990b06c,Property Finder Egypt
فيلا بموقع مميز للبيع في سوان ليك ريزيدنس,٤٢٬٠٠٠٬٠٠٠ جنيه,"سوان ليك ريزيدنس, كمبوندات التجمع الخامس, التجمع الخامس, مدينة القاهرة الجديدة, القاهرة",فيلا,5,4,٤٨٥ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/5758/659f8d8d-f657-4b84-9c50-3a51b6555d00/178x98.jpg,Spade consultancy,10.06.2026,01:48 PM,https://www.propertyfinder.eg/ar/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-81828788.html,https://static.shared.propertyfinder.eg/media/images/listing/EVBQN99G510JJDA32RFCW18EWR/3d907efc-155b-4a94-a508-f40eedef32ea/416x272.jpg?v=9a735c9ade6e0e4c58aed6ff159d9c3c|https://static.shared.propertyfinder.eg/media/images/listing/EVBQN99G510JJDA32RFCW18EWR/c06cf2ff-9667-49c3-a17a-085fcde70d8c/416x272.jpg?v=da988618fc6360832f3db03913c2ac9a|https://static.shared.propertyfinder.eg/media/images/listing/EVBQN99G510JJDA32RFCW18EWR/11cca3fc-15d9-40ef-9a89-077cef1bc2eb/416x272.jpg?v=daa7198483804c93ff093a6b50b3ac87,Property Finder Egypt
تاون هاوس بسعر مميز متشطب بالكامل ماونتن فيو,١٢٬٥٠٠٬٠٠٠ جنيه,"ماونتن فيو راس الحكمة, راس الحكمة, الساحل الشمالي",تاون هاوس,3,3,١٤٥ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/225/cf5a54e7-4a08-4bb9-834a-7ba8e6bdfc68/178x98.jpg,Platinum Properties,11.06.2026,01:48 AM,https://www.propertyfinder.eg/ar/plp/buy/townhouse-for-sale-north-coast-ras-al-hekma-mountain-view-82085730.html,https://static.shared.propertyfinder.eg/media/images/listing/E7GXDPBA3B1YD9GJGPM929V0KC/e59aac1d-b22e-4455-91fd-51999bd9ae72/416x272.jpg?v=895fabda184866b6ce2380cf316a88e7|https://static.shared.propertyfinder.eg/media/images/listing/E7GXDPBA3B1YD9GJGPM929V0KC/84d729ec-8469-4b84-8e3c-171dc4a764a2/416x272.jpg?v=d377d9c7be5da32a1aa04dbabc2aab55|https://static.shared.propertyfinder.eg/media/images/listing/E7GXDPBA3B1YD9GJGPM929V0KC/a13b5e7f-525f-4768-b04d-bc0fec3f66d3/416x272.jpg?v=d17732cc9179d919617bf905f871ab09,Property Finder Egypt
شاليه مميز للبيع باقساط متشطب بالكامل مزارين,١٢٬٥٠٠٬٠٠٠ جنيه,"مازيرين, مدينة العلمين الجديدة, العلمين, الساحل الشمالي",شقة,3,3,٢٣٠ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/225/cf5a54e7-4a08-4bb9-834a-7ba8e6bdfc68/178x98.jpg,Platinum Properties,11.06.2026,01:48 AM,https://www.propertyfinder.eg/ar/plp/buy/apartment-for-sale-north-coast-al-alamein-mazarine-82085761.html,https://static.shared.propertyfinder.eg/media/images/listing/V0692874XBWYABDZ9AR34Y2BQG/a2d8e27e-8468-4653-a558-b20170ab2eac/416x272.jpg?v=c08b58f0d4c2f67aa28cd7eca393e32d|https://static.shared.propertyfinder.eg/media/images/listing/V0692874XBWYABDZ9AR34Y2BQG/57f2ebd9-3830-44c7-abdb-b768c20d0c6d/416x272.jpg?v=7f467d4762cc27b4dada85b27cad5b69|https://static.shared.propertyfinder.eg/media/images/listing/V0692874XBWYABDZ9AR34Y2BQG/491f5657-f72f-4a36-929e-5f57dfae348b/416x272.jpg?v=2ed1db781286e233ce73f9be0a88b62b,Property Finder Egypt
شاليه باقساط للبيع جون الساحل الشمالي,١٨٬٤٥٠٬٠٠٠ جنيه,"چون, راس الحكمة, الساحل الشمالي",شاليه,4,4,١٧١ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/225/cf5a54e7-4a08-4bb9-834a-7ba8e6bdfc68/178x98.jpg,Platinum Properties,10.06.2026,02:48 PM,https://www.propertyfinder.eg/ar/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-june-81831035.html,https://static.shared.propertyfinder.eg/media/images/listing/SZQP39WV0EEMGGKD3PP6XMBXZ4/2226d940-499d-4443-ac45-658979488f48/416x272.jpg?v=f11db3d28d282ecac30e4c461cafd501|https://static.shared.propertyfinder.eg/media/images/listing/SZQP39WV0EEMGGKD3PP6XMBXZ4/6a71bcda-cf50-4bbc-86b9-6cd6f266c573/416x272.jpg?v=e1c0a1a8d23c416803795484ba291771|https://static.shared.propertyfinder.eg/media/images/listing/SZQP39WV0EEMGGKD3PP6XMBXZ4/4bf91b81-0813-4641-921a-3d69b575f675/416x272.jpg?v=edf3ff2308db40533d66c5d5c2d32fc4,Property Finder Egypt
فيلا مميزة تطل علي البحر للبيع هاسيندا باي الساحل,٧٥٬٠٠٠٬٠٠٠ جنيه,"هاسييندا باي, سيدي عبد الرحمن, الساحل الشمالي",فيلا,6,6,٥٠٠ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/225/cf5a54e7-4a08-4bb9-834a-7ba8e6bdfc68/178x98.jpg,Platinum Properties,10.06.2026,02:48 PM,https://www.propertyfinder.eg/ar/plp/buy/villa-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-81830628.html,https://static.shared.propertyfinder.eg/media/images/listing/0373RXR600EK2AWNZFF622KSDG/d40bc488-5490-49c6-aa16-5f9756c564d7/416x272.jpg?v=261d5804b308bd8a62261d42ff622f05|https://static.shared.propertyfinder.eg/media/images/listing/0373RXR600EK2AWNZFF622KSDG/c0648d81-e9d8-4d8c-8c11-f3b125be810b/416x272.jpg?v=dce0278568b09c23aea3eda9a1dcc1be|https://static.shared.propertyfinder.eg/media/images/listing/0373RXR600EK2AWNZFF622KSDG/168fea4f-593d-4360-bcd1-efc3a1529799/416x272.jpg?v=1fd103a20396b1c259b0777fb1f1131c,Property Finder Egypt
شقة ارضي153م+82م جاردن متشطبة بالتكييفات فقلب زايد,٤٬٥٥٠٬٠٠٠ جنيه,"الكارما كاي, كمبوندات الشيخ زايد, الشيخ زايد, الجيزة",شقة,3,3,٢٣٥ متر مربع,Sale,https://static.shared.propertyfinder.eg/media/images/client_logos/5876/f7cd3afb-4845-45f1-b7a4-559a350dc264/178x98.jpg,NABAJ,12.05.2026,06:48 AM,https://www.propertyfinder.eg/ar/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-alkarma-kay-69311616.html,https://static.shared.propertyfinder.eg/media/images/listing/P2Z70F54X65Y7M1A1BRGMGTQQR/6064a2f8-45af-4754-a03f-df1ece0d218e/416x272.jpg|https://static.shared.propertyfinder.eg/media/images/listing/P2Z70F54X65Y7M1A1BRGMGTQQR/ff817ea1-726e-403e-ba69-bd032cfc88c2/416x272.jpg|https://static.shared.propertyfinder.eg/media/images/listing/P2Z70F54X65Y7M1A1BRGMGTQQR/a03d9d32-6869-443a-93d0-b3a239cd5789/416x272.jpg,Property Finder Egypt
